id,SalePrice
1461,120557.72460648036
1462,160539.34817826794
1463,176468.42774571534
1464,197260.1108135438
1465,197723.19135605625
1466,173537.29086724162
1467,173318.39961215365
1468,164053.97548557172
1469,186126.14939049905
1470,119100.3403915361
1471,194117.61408246556
1472,98216.05370465967
1473,99531.57324257864
1474,149570.79760160492
1475,116460.11771053984
1476,357827.69482631434
1477,248775.11617448728
1478,277256.8868429104
1479,269414.2786467635
1480,503910.66567637573
1481,331913.2550926381
1482,210297.31400890122
1483,176251.63741012628
1484,162995.56825218262
1485,181040.77238246982
1486,196011.02573413978
1487,319431.5117325128
1488,237333.92050083407
1489,190884.0615867881
1490,224562.14429746353
1491,194466.94086191297
1492,91813.3693061073
1493,174655.06055281992
1494,289559.7346497879
1495,293274.762139299
1496,231198.04751479818
1497,179316.9533098923
1498,166453.78546772338
1499,160207.93795027077
1500,157651.3332381181
1501,178747.54224505887
1502,147803.47522308887
1503,277773.60934615834
1504,245125.0519884559
1505,226389.82106856717
1506,188871.20039688697
1507,253281.25765016655
1508,197298.25216910584
1509,163076.5371606114
1510,144464.20513734478
1511,148186.47986901022
1512,174382.20190142273
1513,143305.5041254146
1514,148390.93792396173
1515,193870.38183592528
1516,152982.71581304062
1517,162977.39028930242
1518,133082.1513551347
1519,210926.35171036384
1520,133034.39275212516
1521,135383.21613707728
1522,177796.96265691315
1523,112275.9778026213
1524,126631.11802280256
1525,123938.08396090189
1526,115846.64437079884
1527,106086.6224038793
1528,141409.43077045633
1529,147646.67898407328
1530,185065.9032168492
1531,107734.42626305111
1532,97950.65530060907
1533,144717.4269647542
1534,121679.94366380751
1535,146668.48453672315
1536,109179.38532360166
1537,53325.661312184835
1538,156875.68043929795
1539,198681.30982540306
1540,88055.56323628695
1541,139086.26226502797
1542,138817.72760483364
1543,198269.4673320115
1544,82495.47152615582
1545,115054.7502958216
1546,129075.67228882568
1547,135557.74875071755
1548,130901.22241242761
1549,120227.77694854543
1550,131387.95493538328
1551,107729.05510961474
1552,132460.33511011623
1553,145283.69740238364
1554,119934.75477635447
1555,158553.39521640528
1556,85240.93812424119
1557,104840.83482011649
1558,102726.40450494834
1559,74145.97464307556
1560,126391.31111844022
1561,120937.90378625909
1562,127190.15895218625
1563,121680.09094226864
1564,154618.30149526443
1565,143435.04476136953
1566,231355.72241944537
1567,73882.26254521922
1568,237229.94790321213
1569,121634.26784133239
1570,142046.99097407615
1571,121098.50861257549
1572,147107.0683125288
1573,232315.6762553763
1574,109283.36035287188
1575,225427.21736210634
1576,241030.40353314887
1577,175614.9948186917
1578,147604.18343556114
1579,142476.50082326605
1580,190975.38560917613
1581,148349.72301881085
1582,126248.55439334078
1583,314334.9569624492
1584,223553.83092634988
1585,139650.97552730303
1586,69710.35100597204
1587,102699.8108302935
1588,153229.01365276647
1589,91129.26984469689
1590,136764.24833263137
1591,99653.14420760168
1592,110967.5609487132
1593,125876.13973432756
1594,120645.55674520886
1595,107324.72257270484
1596,230901.57590448263
1597,191774.7220489779
1598,217049.37653468648
1599,162619.91441678916
1600,154949.6131225805
1601,60305.5173387846
1602,117952.64256197271
1603,84971.91396210168
1604,262653.9729429288
1605,251410.51158349717
1606,169023.7650930381
1607,180841.82424112287
1608,208055.00568355125
1609,178208.77087193663
1610,145610.94362860548
1611,138210.33146699038
1612,165143.77855284058
1613,161196.37310174797
1614,127073.78338177083
1615,93793.71650053356
1616,83287.213184897
1617,95562.27965886975
1618,125312.19133876765
1619,134720.48896058765
1620,132692.8598362804
1621,139354.31107110286
1622,141330.35560320207
1623,275895.30821255344
1624,220752.20665189007
1625,125098.61881322337
1626,169698.9254101924
1627,190504.6821933043
1628,284839.47198104556
1629,170969.7792679608
1630,354320.3522127756
1631,223054.73786152335
1632,244658.8622542869
1633,165489.24250753908
1634,182223.44458488122
1635,180392.66433527198
1636,153834.07412537796
1637,189085.38202453486
1638,186540.96845429076
1639,182877.2208297397
1640,260018.3074297153
1641,178339.86470664231
1642,239624.65129222232
1643,219141.42725510243
1644,233891.1564724269
1645,191589.7322120718
1646,159683.98157448415
1647,159274.5702302512
1648,126943.45658480571
1649,140073.99274172768
1650,111045.71075003473
